filename,predicted_label,predicted_tag,confidence
005a0a2a7cdcc9d1d3996bcb17de42038b06b4b6e4009dafdcfda26dfaa152c0.jpg,unknown,unknown,0.2038
0063410371a49c8c5ca9e51310f8b8090547b79b3b5a7f591db01f5894542af8.jpg,unknown,unknown,0.2514
0063698938915e5616a4af702e360cc91be5d4eda68f4a685bc9c21ae4e97858.jpg,unknown,unknown,0.2029
006cb535d151dd0adc0ff17ef236b13b074f283049ca0a4517d6788fe71044d8.jpg,Aoba from Blue Archive,Blue_Archive_Aoba,0.3601
00df34337e4984542d11c364716174466f90ad153eb5b9de75a1762c7db4a980.jpg,unknown,unknown,0.0787
00f5d312c24e4d850b629d09d7ee8583e90a9baf67608ac4e7c28b70627afc7f.jpg,unknown,unknown,0.1899
00f73ad6b5d57701ba66ba3661646239070f21adbfc297de13fc1a2486b4f917.jpg,unknown,unknown,0.0909
010b963c5acdd27d3cca7c5e99e1afd514d4d6a3069e82550015d708b0708933.jpg,unknown,unknown,0.1079
0167d4dfdaafc666f3e07bc572188a95a8742ec829dee2ddf4d772419a7b10ac.jpg,unknown,unknown,0.0979
016cba5706f7ef256671d601899a9b942ea94935053599d4ee874ba7cb84f956.jpg,unknown,unknown,0.0804
016ce5fc2e269d36cd24b4f7c84350cbc12ed5ced76e4122b5bf0379bb701078.jpg,unknown,unknown,0.1235
01909f4cd5a2a7ba8dc9a9fe0cc77d9eb5d5eb9622e8a188eb862598dccd5cac.jpg,unknown,unknown,0.1461
01b136108f18c2eb211772f73269eaa418d8c094fd776ef8fa2f5edd1490c70d.jpg,unknown,unknown,0.1136
01d1adfee4bc8bde8ad696c2787844aaae9a480ec08e71432ae0489d176f4f69.jpg,unknown,unknown,0.1167
01ec43711e62c861e4a5f95ef113a52bfc35cba4297c86a59423abc60722e353.jpg,Aoba from Blue Archive,Blue_Archive_Aoba,0.3116
01f852e49db7a388be3c2fa79608c497f567fd82bf9b505c7e2345e8fa35a75d.jpeg,unknown,unknown,0.1247
022bd48837659aba3e8cf84deaa83578fcf6c9162ed97b5197242a15a67f71b2.jpg,unknown,unknown,0.0753
02315a014917ef8ee27f72f1a840b866b372a1e5fca6b1e8e139fe9269cd5cee.jpg,unknown,unknown,0.1975
0237f1726a23b01477ebf004aa8f81d368c6bb0be304d89eaed29ccbff3295ea.jpg,Momiji from Blue Archive,Blue_Archive_Momiji,0.5244
0246188cceb63709f3d658463d9da134cca90f69f9e41708d22997a57383342e.jpg,unknown,unknown,0.1785
0265b5caf580d1f5e61cd1ca8f7f29ce76db00150b9a51d46f643755ce2b6fd2.jpg,unknown,unknown,0.1181
029386a331020a697e11912659bac38ca57c8726ac3dd4e100c6da05f6e5ccd9.jpg,unknown,unknown,0.108
02bb6f1cb35349dcf23faa415583169bd0c1ad92b84dd0dad1e9b17afc04a5b0.jpg,unknown,unknown,0.0864
02d3a5ede1bad9d90cec98fd4db616f753a4351f01d5c3e5d1f1a4f9dd84dda7.jpg,unknown,unknown,0.1933
02ef4819affceaa03cde3902527e56fe47694e7ade2013f6afb6a40eab5cdefc.jpg,Hifumi from Blue Archive,Blue_Archive_Hifumi,0.5347
02fdc9e4a26f78d1443d1a9109af6cb40a584f50ef4c32b74fb6a429e732c44e.jpg,Hifumi from Blue Archive,Blue_Archive_Hifumi,0.3401
031657fdbabd0e18aa31b56e94a864712e02a3bf0ef23221c1e5bce6dd519377.jpg,unknown,unknown,0.1815
031bb6b351bd8012519e6ccc7e438e47179ad6cb12ed6f9b9fe8bb4da41b46ad.jpg,unknown,unknown,0.1025
0328908e5f37b53a75913b0599b1e66ef7b353216e1def6d2a42f1fc72db9397.jpg,unknown,unknown,0.073
033de57a9040cce18b0657cd6e63c393bbacf44dfa6cb6d5b0efb748faaf4501.png,unknown,unknown,0.2542
0365c476defd92d62eff50f8c55b7ec9516dc7fcebdd55f6b9d964340cf71f57.jpg,unknown,unknown,0.0966
037307ff1a90f9914f6bd8b796fd789f4f0944f575174df1117e70f59a7df974.jpg,unknown,unknown,0.2208
03c3b780d928a05441e80a3fe8eae76f54d556f1fca1490854acce5884467912.jpg,Aoba from Blue Archive,Blue_Archive_Aoba,0.3228
03c54b6f64232f6e26253a4264590e5c34d2bf45537ac443768477c2f791db82.jpg,unknown,unknown,0.1366
03de604dd4fb3c58c4ff8c848b327eecb167542e0758526d7ab4d0b7173f4e3c.jpg,unknown,unknown,0.0624
03e52b0941e688b87a06e1176f4464101224028590e8ab54f4fa9efe5f1b340d.jpg,unknown,unknown,0.1112
0403f947262806258e0e4e2af8618c312d7c12c68a74a31a6e8509ca2f98f4cb.jpg,unknown,unknown,0.2729
04110e54af85bb753b58d8e4658a11ad65433aba435a7ebf247e9b6314d28232.jpg,Hifumi from Blue Archive,Blue_Archive_Hifumi,0.383
04643a7b18e79bcdd776cffba4a112fd1011820030c32509124590263a86e5eb.jpg,unknown,unknown,0.0647
046db7e66e31f6f950410b219e2e52ea6c85e185823f56f6c9db61a888ac440f.jpg,unknown,unknown,0.1139
048df28f8602818bc6a2fe97bd2877dbecfdf85fc2ff5dc507184124f822023a.jpg,unknown,unknown,0.045
04abf793d66477a703163c15eef5bbf4f3fb4059fed6d8cb7b54775d584c5d2c.jpg,unknown,unknown,0.0607
04bd1c114633f3225964daa5649c0f8166b3c919d1cff8ab60ccd38452e57fa7.jpg,unknown,unknown,0.2176
04cfd4060e0ef69d48524b5fff56b0ba5034d83ee055b9e9c1f6c6d0d01c3599.jpg,unknown,unknown,0.0662
04d3cca19813e3d45179abe94cb14c1df04d454a15fbf138472fcb705654585f.jpg,unknown,unknown,0.0823
04e960b785b79e2544a55014df1fe47a2ee7468c295a4a58c5f7d967cd094796.jpg,unknown,unknown,0.139
051281f9024098b9a27171092239926a91fe5440bc90fa976e3e570127b06145.jpg,unknown,unknown,0.2548
056025ca206dfd295b58ccb8e1804c2d99180df91ff69a97ecc2c90973087cf5.jpg,unknown,unknown,0.1116
